,year,temperature,rainfall,mosquitos,temperature_C
0,1960,82,200,180,27.77777777777778
1,1961,70,227,194,21.11111111111111
2,1962,89,231,207,31.666666666666668
3,1963,74,114,121,23.333333333333332
4,1964,78,147,140,25.555555555555557
5,1965,85,151,148,29.444444444444443
6,1966,86,172,162,30.0
7,1967,75,106,112,23.88888888888889
8,1968,70,276,230,21.11111111111111
9,1969,86,165,162,30.0
10,1970,83,222,198,28.333333333333332
11,1971,78,297,247,25.555555555555557
12,1972,87,288,248,30.555555555555557
13,1973,76,286,239,24.444444444444443
14,1974,86,231,202,30.0
15,1975,90,284,243,32.22222222222222
16,1976,76,190,175,24.444444444444443
17,1977,87,257,225,30.555555555555557
18,1978,88,128,133,31.11111111111111
19,1979,87,218,199,30.555555555555557
20,1980,81,206,184,27.22222222222222
21,1981,74,175,160,23.333333333333332
22,1982,85,202,187,29.444444444444443
23,1983,71,130,126,21.666666666666668
24,1984,80,225,200,26.666666666666668
25,1985,72,196,173,22.22222222222222
26,1986,76,261,222,24.444444444444443
27,1987,85,111,121,29.444444444444443
28,1988,83,247,210,28.333333333333332
29,1989,86,137,142,30.0
30,1990,82,159,152,27.77777777777778
31,1991,77,172,160,25.0
32,1992,74,280,231,23.333333333333332
33,1993,70,291,238,21.11111111111111
34,1994,77,126,125,25.0
35,1995,89,191,178,31.666666666666668
36,1996,83,298,248,28.333333333333332
37,1997,80,282,237,26.666666666666668
38,1998,86,219,195,30.0
39,1999,72,143,134,22.22222222222222
40,2000,79,262,221,26.11111111111111
41,2001,85,189,175,29.444444444444443
42,2002,86,205,186,30.0
43,2003,72,195,173,22.22222222222222
44,2004,78,148,146,25.555555555555557
45,2005,71,262,219,21.666666666666668
46,2006,88,255,226,31.11111111111111
47,2007,79,262,221,26.11111111111111
48,2008,73,198,176,22.77777777777778
49,2009,86,215,187,30.0
50,2010,87,127,129,30.555555555555557
